"Node","rank","academic.birth","all.publications","var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up"
466685,1844,2010,78,180.3,392,7.09090909090909,3.36363636363636,338,0,0,0.275179471259255,0,0,684.5,56.3333333333333,162,40.5,722
914713,1845,2010,84,4.5,4.5,7.63636363636364,6.45454545454545,72,144.5,72,0.298012346679379,0,180.5,72,16.3,24.5,57.3333333333333,72
260486,1846,2011,64,118.7,18,6.4,8.6,512,450,0.5,0.15320836652798,0,0,84.5,41.7,0.5,36.3333333333333,162
263128,1847,2010,77,182.3,480.5,7,3.36363636363636,220.5,144.5,0,0.495305545250801,2.697825616639,0,18,6.33333333333333,18,65.3333333333333,0
871586,1848,2010,93,44.5,2,8.45454545454546,5.18181818181818,72,0,24.5,0.412615932983269,0,72,800,22.25,288,0.5,40.5
10675,1849,2010,61,331.7,1300.5,5.54545454545455,3.27272727272727,1300.5,4.5,0,0.679771432322857,1.97071153735383,0,0,65.3333333333333,0,264.5,0
85027,1850,2010,55,122.3,98,5,9.09090909090909,364.5,180.5,4.5,0.456689735849511,0,12.5,8,18.7,0,14.3333333333333,32
3700,1851,2010,70,515.3,1512.5,6.36363636363636,7.54545454545455,1300.5,60.5,0,0.566634213945368,1.35520245254084,0,0,89.3333333333333,0,0,0
228111,1852,2010,51,268.3,338,4.63636363636364,5,200,242,0,0.55590317864132,0,0,32,30.3333333333333,50,14.3333333333333,882
40053,1853,2010,60,125.3,0,5.45454545454545,5.81818181818182,1012.5,512,800,0.177386263622909,0,0,264.5,12.6666666666667,98,44.3333333333333,208.333333333333
59166,1854,2013,64,156.916666666667,924.5,8,6.75,0,0,0,0.412361375396578,0,648,0,32.3333333333333,8,450,112.5
545003,1855,2010,87,26.3,2,7.90909090909091,7.18181818181818,40.5,98,0,0.356670475146538,0.974420202896762,0,220.5,48.3333333333333,84.5,12.5,144.5
79521,1856,2010,77,121,60.5,7,7.81818181818182,450,450,0,0.210652382095245,0,60.5,72,19.3333333333333,40.5,37,2
4234,1857,2010,104,245.3,288,9.45454545454546,7.90909090909091,420.5,8,0,0.343010989083856,0,0,0,24.3333333333333,200,12.5,1404.5
208293,1858,2010,53,626.3,3042,5.3,7.1,1300.5,312.5,0,0.518838636266207,0.31742080551272,0,0,98,0,0,0
190953,1859,2010,70,70.7,512,6.36363636363636,10.2727272727273,128,72,578,0.320866000394715,0,0.5,0,10.3333333333333,128,4.5,12.5
17350,1860,2010,68,86.7,72,6.18181818181818,6.45454545454545,200,200,4.5,0.308866053240441,0,0.5,0.5,12.25,24.5,72,30.3333333333333
671363,1861,2012,66,104.916666666667,612.5,7.33333333333333,7.33333333333333,0,0,0,0.292978509252728,0.0121954235277051,242,0,12.6666666666667,312.5,84,101.333333333333
504325,1862,2010,66,82.3,18,6,4.72727272727273,144.5,338,12.5,0.260724040531571,0,72,72,17.3,18,26.3333333333333,225.333333333333
85818,1863,2011,64,456.666666666667,1922,8,17.375,0,0,0,0.17793023152461,0,220.5,0,28,12.5,98,264.5
151768,1864,2010,103,213.2,1200.5,9.36363636363636,6.81818181818182,1624.5,32,0,0.465248132666658,0,0,0,70.3333333333333,0,420.5,0
61217,1865,2010,96,8.2,4.5,8.72727272727273,10.8181818181818,98,72,512,0.379893439108247,0,684.5,220.5,2.33333333333333,4.5,25,0
