"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
728,587,724,534,210,614,343,2191,458,791,2564,1519,962,1460,765,"124"
1009,919,2138,863,367,2141,4225,3236,4225,4225,4225,1684,4225,2910,4225,"125"
459,1588,208,486,2979,215,4225,1029,197,4225,1908,1047,1171,3238,134,"126"
1805,2157,1888,3813,2201,3323,1650,101,608,1677,375,1839,653,779,2234,"127"
2034,1271,3514,1793,1764,3169,4225,3807,4225,4225,924,3637,4225,1433,442,"128"
363,257,3514,1879,946,2620,4225,2830,4225,4225,1356,2857,4225,3663,191,"129"
2860,2834,1436,3331,2560,1191,4225,224,726,4225,2153,3340,2952,3341,4225,"130"
243,118,3514,3296,182,2873,4225,1117,4225,4225,4225,3637,4225,1433,4225,"131"
1488,1884,3613,3460,670,3169,4225,781,4225,4225,4225,1519,4225,2689,4225,"132"
525,446,3400,1793,651,2620,4225,3865,4225,4225,1426,1721,1922,2062,134,"133"
2002,1740,360,302,2284,3454,4225,505,747,4225,85,213,4225,95,215,"134"
2748,2931,3724,3607,1514,1737,4225,3063,4225,4225,4225,373,4225,779,4225,"135"
3706,2594,3072,3080,4225,4225,4225,188,944,4225,4225,3802,1806,4225,4225,"136"
2172,2075,2018,1690,4225,4225,4225,334,826,4225,4225,520,4225,531,695,"137"
2225,2490,2483,3813,1982,2033,4225,308,455,4225,1426,4225,2301,1860,926,"138"
208,257,3216,548,55,1407,4225,2519,4225,4225,4225,534,4225,4225,4225,"139"
1315,483,600,1620,716,1842,4225,1143,4225,4225,4225,159,4225,64,4225,"140"
2610,3816,1689,3410,2896,3454,661,1133,236,408,4225,463,4225,1280,1286,"141"
3672,2594,355,1541,4225,988,238,734,439,4225,681,934,4225,4225,834,"142"
376,314,686,2934,514,3323,4225,351,929,4225,118,1043,4225,236,147,"143"
1242,4225,3724,3879,4225,1191,4225,2230,4225,4225,1828,3400,2820,2287,1114,"144"
649,1517,49,161,333,51,1135,958,624,822,322,670,2419,549,1727,"145"
902,3317,128,689,3149,1481,4225,820,530,4225,59,1133,653,4225,258,"146"
1916,2266,263,352,1245,157,552,792,872,280,1219,2687,2666,3364,3052,"147"
1246,622,2377,3637,745,1842,4225,318,1011,4225,4225,235,4225,4225,4225,"148"
835,334,129,290,249,172,927,1828,4225,640,2153,1691,357,1314,2089,"149"
1979,809,312,346,4225,4225,4225,1016,524,937,4225,3670,962,3481,2754,"150"
694,346,2056,366,1162,1642,4225,1186,4225,4225,2069,4159,962,3791,4225,"151"
248,284,3298,3995,249,2391,4225,1204,4225,4225,4225,854,4225,376,141,"152"
1827,1337,2138,2498,1908,3454,4225,40,1084,4225,4225,1641,2666,2431,4225,"153"
2974,2157,3037,3369,2284,2620,4225,55,1260,4225,1219,980,1594,2211,4225,"154"
2395,2266,2949,3296,1198,3323,4225,2575,4225,4225,4225,1400,477,1598,4225,"155"
